PID	%CPU	TimeStamp
0	50.0	1.759999
1	50.0	1.759999
3	50.0	1.759999
5	50.0	1.759999
2	0.0	1.759999
4	0.0	1.759999
1	50.0	1.769999
2	50.0	1.769999
4	50.0	1.769999
0	0.0	1.769999
3	0.0	1.769999
5	0.0	1.769999
1	66.7	1.779999
0	33.3	1.779999
2	33.3	1.779999
4	33.3	1.779999
5	33.3	1.779999
3	0.0	1.779999
3	66.7	1.789999
0	33.3	1.789999
1	0.0	1.789999
2	0.0	1.789999
4	0.0	1.789999
5	0.0	1.789999
0	50.0	1.799999
2	50.0	1.799999
4	50.0	1.799999
5	50.0	1.799999
1	0.0	1.799999
3	0.0	1.799999
1	33.3	1.809999
3	33.3	1.809999
4	33.3	1.809999
5	33.3	1.809999
0	0.0	1.809999
2	0.0	1.809999
0	50.0	1.819999
1	50.0	1.819999
2	50.0	1.819999
3	50.0	1.819999
4	50.0	1.819999
5	0.0	1.819999
0	33.3	1.829999
1	33.3	1.829999
2	33.3	1.829999
4	33.3	1.829999
5	33.3	1.829999
3	0.0	1.829999
1	100.0	1.839999
0	50.0	1.839999
3	50.0	1.839999
5	50.0	1.839999
2	0.0	1.839999
4	0.0	1.839999
4	50.0	1.849999
5	50.0	1.849999
0	0.0	1.849999
1	0.0	1.849999
2	0.0	1.849999
3	0.0	1.849999
0	33.3	1.859999
2	33.3	1.859999
3	33.3	1.859999
4	33.3	1.859999
1	0.0	1.859999
5	0.0	1.859999
0	50.0	1.869999
1	50.0	1.869999
2	50.0	1.869999
3	50.0	1.869999
4	50.0	1.869999
5	50.0	1.869999
1	100.0	1.879999
0	50.0	1.879999
4	50.0	1.879999
5	50.0	1.879999
2	0.0	1.879999
3	0.0	1.879999
0	33.3	1.889999
2	33.3	1.889999
3	33.3	1.889999
4	33.3	1.889999
1	0.0	1.889999
5	0.0	1.889999
0	50.0	1.899999
1	50.0	1.899999
3	50.0	1.899999
4	50.0	1.899999
5	50.0	1.899999
2	0.0	1.899999
2	33.3	1.909999
0	0.0	1.909999
1	0.0	1.909999
3	0.0	1.909999
4	0.0	1.909999
5	0.0	1.909999
0	66.7	1.919999
1	33.3	1.919999
2	33.3	1.919999
4	33.3	1.919999
5	33.3	1.919999
3	0.0	1.919999
0	50.0	1.929999
1	50.0	1.929999
3	50.0	1.929999
4	50.0	1.929999
5	50.0	1.929999
2	0.0	1.929999
1	50.0	1.939999
2	50.0	1.939999
4	50.0	1.939999
0	0.0	1.939999
3	0.0	1.939999
5	0.0	1.939999
3	66.7	1.949998
0	33.3	1.949998
4	33.3	1.949998
5	33.3	1.949998
1	0.0	1.949998
2	0.0	1.949998
0	33.3	1.959998
1	33.3	1.959998
2	33.3	1.959998
5	33.3	1.959998
3	0.0	1.959998
4	0.0	1.959998
0	50.0	1.969998
1	50.0	1.969998
2	50.0	1.969998
3	50.0	1.969998
4	50.0	1.969998
5	0.0	1.969998
0	50.0	1.979998
1	50.0	1.979998
2	50.0	1.979998
4	50.0	1.979998
5	50.0	1.979998
3	0.0	1.979998
1	33.3	1.989998
2	33.3	1.989998
3	33.3	1.989998
4	33.3	1.989998
0	0.0	1.989998
5	0.0	1.989998
1	50.0	1.999998
3	50.0	1.999998
5	50.0	1.999998
0	0.0	1.999998
2	0.0	1.999998
4	0.0	1.999998
0	33.3	2.009999
1	33.3	2.009999
2	0.0	2.009999
3	0.0	2.009999
4	0.0	2.009999
5	0.0	2.009999
0	50.0	2.019999
1	50.0	2.019999
2	50.0	2.019999
3	50.0	2.019999
4	50.0	2.019999
5	50.0	2.019999
4	66.7	2.029999
0	33.3	2.029999
1	33.3	2.029999
3	33.3	2.029999
5	33.3	2.029999
2	0.0	2.029999
0	50.0	2.039999
2	50.0	2.039999
4	50.0	2.039999
1	0.0	2.039999
3	0.0	2.039999
5	0.0	2.039999
1	33.3	2.049999
2	33.3	2.049999
3	33.3	2.049999
4	33.3	2.049999
5	33.3	2.049999
0	0.0	2.049999
0	50.0	2.059999
1	50.0	2.059999
4	50.0	2.059999
5	50.0	2.059999
2	0.0	2.059999
3	0.0	2.059999
0	33.3	2.069999
1	33.3	2.069999
2	33.3	2.069999
3	33.3	2.069999
4	0.0	2.069999
5	0.0	2.069999
1	50.0	2.079998
4	50.0	2.079998
5	50.0	2.079998
0	0.0	2.079998
2	0.0	2.079998
3	0.0	2.079998
2	66.7	2.089998
0	33.3	2.089998
1	33.3	2.089998
3	33.3	2.089998
4	33.3	2.089998
5	33.3	2.089998
0	50.0	2.099998
1	50.0	2.099998
3	50.0	2.099998
